d_codigo,d_asenta,c_mnpio
22195,Monte Bello,4
22195,Real del Monte,4
22195,Sonora,4
22195,Los Olivos Norte,4
22196,Sirak M Baloyan,4
22200,Loma Bonita,4
22200,Buenos Aires Norte,4
22200,Ampliación Loma Bonita,4
22200,Jardín Dorado,4
22203,Cañón del Padre,4
22203,Granjas Familiares de Matamoros,4
22203,Rincón Dorado,4
22203,Pedregal del Matamoros,4
22204,Ejido Matamoros,4
22204,Colas del Matamoros,4
22204,Valle Verde,4
22204,El Peñón,4
22204,Altiplano,4
22204,Planicie,4
22204,Altiplano 5a Sección,4
22204,El Mirador,4
22205,FIDUZET,4
22205,Villa Fontana XVI,4
22205,Villa Fontana XVIII,4
22206,Tierra y Libertad,4
22206,Mariano Matamoros (Norte),4
22206,Héroes de Independencia,4
22206,El Pípila,4
22206,Lomas de Matamoros,4
22206,Las Torres de Matamoros,4
22207,Puerta del Sol,4
22207,Ampliación Gabriel Rodriguez,4
22207,Buenos Aires Sur,4
22207,Los Lobos,4
22207,Misión de las Californias,4
22210,El Lago,4
22210,Colinas del Alamar (Torres del Lago),4
22214,Mesetas del Guaycura,4
22214,Patria Nueva,4
22214,Pórticos del Lago,4
22214,Ampliación Guaycura,4
22215,Las Misiones,4
22215,Ampliación Las Américas,4
22215,Rancho el Águila,4
22215,Paseos de Guaycura,4
22215,Praderas del Sol,4
22216,Guaycura,4
22220,Hacienda el Colorado,4
22223,San Carlos,4
22223,Cerro Colorado I,4
22223,Cerro Colorado 2a Sección (Lomas del Colorado),4
22223,Kino,4
22223,José López Portillo,4
22223,Mirador Capistrano,4
22223,Cerro Colorado 3a Sección,4
22223,Kino II,4
22223,Cerro II,4
22223,Cerro Colorado,4
22224,El Porvenir,4
22224,Praderas de La Mesa,4
22224,Cañón de La Raza,4
22224,Villa Cruz,4
22224,Agraristas,4
22225,Los Saucillos,4
22225,La Campiña,4
22225,IMAQ Tijuana,4
22225,Rodeo,4
22225,Anexa Porvenir,4
22225,Pórticos de La Mesa,4
22225,Meseta del Chema,4
22225,Libramiento (Zona AO),4
22225,El Seminario,4
22226,Río Tijuana 3a Etapa,4
22230,Horóscopo,4
22234,Mariano Matamoros (Centro),4
22234,Mariano Matamoros (Sur),4
22234,Ejido Francisco Villa Sur,4
22236,Ejido Francisco Villa 2a Sección,4
22236,Ejido Francisco Villa,4
22237,El Florido 1a. Sección,4
22237,El Florido 2a. Sección,4
22237,El Florido III,4
22244,Lomas Virreyes,4
22245,La Morita 2a Sección,4
22245,El Florido IV,4
22245,La Morita,4
22245,Las Abejas,4
22245,Las Colonias,4
